id;curso;Area_the;setor;turno;grau;forma_evasao;ira;contagem_disciplinas;contagem_reprovacoes;evasao;proprep;
30919;Engenharia Civil;ET;Setor de Tecnologia;I;Bacharelado;Formatura;0,7659;97;0;0;0;0,332521236
69923;Estatística;PH;Setor de Ciências Exatas;N;Bacharelado;Abandono;0,3257;4;2;1;0,5;0,332522527
2272;Engenharia de Aquicultura;LS;Centro de Estudos do Mar;M;Bacharelado;Abandono;0,046;8;8;1;1;0,332545661
77288;Engenharia Química;ET;Setor de Tecnologia;I;Bacharelado;Sem evasão;0,833;27;0;0;0;0,332552544
49699;Análise e Desenvolvimento de Sistemas;CS;Setor de Educação Profissional e Tecnológica;T;Tecnológico;Formatura;0,5953;91;10;0;0,10989011;0,332553253
17565;Engenharia Mecânica;ET;Setor de Tecnologia;I;Bacharelado;Formatura;0,639;186;11;0;0,059139785;0,332585181
53518;Design Gráfico;AH;Setor de Artes, Comunicação e Design;I;Bacharelado;Formatura;0,8951;83;1;0;0,012048193;0,332590186
62574;Engenharia Química;ET;Setor de Tecnologia;I;Bacharelado;Sem evasão;0,2435;21;11;0;0,523809524;0,33263687
51166;História;AH;Setor de Ciências Humanas;T;Bacharelado;Sem evasão;0,6879;63;4;0;0,063492063;0,332661345
17151;Comunicação Institucional;SS;Setor de Educação Profissional e Tecnológica;M;Tecnológico;Abandono;0,6253;59;18;1;0,305084746;0,33266494
65073;Engenharia Elétrica;ET;Setor de Tecnologia;I;Bacharelado;Abandono;0,1011;39;20;1;0,512820513;0,332685325
79395;Administração;BE;Setor de Ciências Sociais Aplicadas;N;Bacharelado;Sem evasão;0,8474;25;0;0;0;0,332711757
24071;Terapia Ocupacional;PS;Setor de Ciências da Saúde;N;Bacharelado;Formatura;0,8408;61;0;0;0;0,332717229
30175;Agronomia;LS;Setor de Ciências Agrárias;I;Bacharelado;Formatura;0,7488;82;1;0;0,012195122;0,332733783
28712;Direito;LW;Setor de Ciências Jurídicas;N;Bacharelado;Formatura;0,7146;94;3;0;0,031914894;0,332738894
79085;Ciência da Computação;CS;Setor de Ciências Exatas;I;Bacharelado;Abandono;0,2656;10;6;1;0,6;0,332749984
38953;Química;ED;Setor de Ciências Exatas;N;Licenciatura;Abandono;0,0787;26;24;1;0,923076923;0,332764665
